Incident Number,Date Reported,Date Occurred,Badge ID,Offense Classification,Offense Code Name,NIBRS Code,NIBRS Group,Was Offense Completed,LMPD Division,LMPD Beat,Location Category,Block Address,City,Zip Code,ObjectId
LMPD24005671,1/16/2024,11/03/2023,5620,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,Yes,2nd Division,223,Commercial/Office Building,1000 BLOCK S 9TH ST,LOUISVILLE,40203,
LMPD24005377,1/15/2024,12/30/2023,5619,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,Yes,2nd Division,211,Residence/Home,300 BLOCK LOUIS COLEMAN JR DR,LOUISVILLE,40212,
LMPD24005367,1/15/2024,11/10/2023,5577,23 THEFT OTHER,"TBUT OR DISP ALL OTHERS $500 < $1,000 514.030 24096 23H",23H,A,Yes,6th Division,612,Residence/Home,4100 BLOCK QUIET WAY,LOUISVILLE,40219,
LMPD24005344,1/15/2024,01/10/2023,8373,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,Yes,6th Division,625,Parking/ Drop Lot/ Garage,2900 BLOCK HIKES LN,LOUISVILLE,40220,
LMPD24005434,1/15/2024,12/29/2023,5621,22 THEFT MV PARTS,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL 186.990(6) 28200 23G,23G,A,Yes,7th Division,736,Parking/ Drop Lot/ Garage,8300 BLOCK PRESTONVIEW LN,LOUISVILLE,40219,
LMPD24005402,1/15/2024,11/06/2023,8358,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-1ST DEGREE-IDENTIFY 516.050 25061 250,250,A,Yes,4th Division,423,Bank/Savings and Loan,3400 BLOCK TAYLOR BLVD,LOUISVILLE,40215,
LMPD24004834,1/13/2024,12/31/2023,5621,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,Yes,5th Division,521,Cyberspace,500 BLOCK ZORN AVE,LOUISVILLE,40206,
LMPD24004927,1/13/2024,12/01/2023,8566,23 THEFT OTHER,"THEFT OF SERVICES $1,000 TO < $10,000 514.060(4)(b) 23485 23H",23H,A,Yes,1st Division,111,Residence/Home,1900 BLOCK BANK ST,LOUISVILLE,40203,
LMPD24004515,01/12/2024,11/26/2023,5597,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,Yes,8th Division,812,Residence/Home,2200 BLOCK GLENVIEW AVE,NORTHFIELD,40222,
LMPD24004544,01/12/2024,12/25/2023,5623,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,Yes,6th Division,625,Residence/Home,9200 BLOCK BUNSEN PARK DR,LOUISVILLE,40220,
LMPD24004520,01/12/2024,10/29/2023,5623,28 FRAUD CREDIT CARD/ATM,"FRAUDULENT USE OF A CREDIT CARD $1000 < $10,000 434.650(1)(B)(2) 71204 26B",26B,A,Yes,7th Division,723,Residence/Home,8100 BLOCK APPLE VALLEY DR,LOUISVILLE,40228,
